species,NODC,dup_species
Aeolidiidae,5142030000,FALSE
Polyplacophora,5300000000,FALSE
Lepidopleurina,5302000000,FALSE
Lepidopleuridae,5302010000,FALSE
Lepidopleurus,5302010200,FALSE
Lepidopleurus asellus,5302010202,FALSE
Ischnochitonina,5303000000,FALSE
Ischnochitoniddae,5303020000,FALSE
Ischnochiton,5303020300,FALSE
Ischnochiton albus,5303020302,FALSE
Lepidochitona,5303020400,FALSE
Lepidochitona cinereus,5303020402,FALSE
Tonicella,5303020600,FALSE
Tonicella rubra,5303020604,FALSE
Callochitonidae,5303040000,FALSE
Callochiton,5303040100,FALSE
Callochiton achatinus,5303040101,FALSE
Acantochitonina,5304000000,FALSE
Acanthochitonidae,5304010000,FALSE
Acanthochitona,5304010200,FALSE
Acanthochitona crinatus,5304010201,FALSE
Acanthochiton communis,5304010202,FALSE
Bivalvia,5500000000,FALSE
Nuculoida,5502000000,FALSE
Nuculidae,5502020000,FALSE
Nucula                  *,5502020200,FALSE
Nucula nucleus,5502020207,FALSE
Nucula tumidula,5502020208,FALSE
Arcoida,5506000000,FALSE
Arcidae,5506010000,FALSE
Arca,5506010400,FALSE
Arca lactea,5506010401,FALSE
Glycymeridae,5506060000,FALSE
Glycymeris,5506060100,FALSE
Glycymeris glycymeris,5506060105,FALSE
Mytiloida,5507000000,FALSE
Mytilidae,5507010000,FALSE
Mytilus,5507010100,FALSE
Mytilus edulis,5507010101,FALSE
Mytilus galloprovincialis,5507010102,FALSE
Musculus,5507010400,FALSE
Musculus niger,5507010401,FALSE
Musculus discors,5507010402,FALSE
Musculus marmoratus,5507010407,FALSE
Musculus pygmeus,5507010410,FALSE
Musculus costulatus,5507010412,FALSE
Modiolus,5507010600,FALSE
Modiolus modiolus,5507010601,FALSE
Modiolus barbatus,5507010604,FALSE
Modiolus phaseolinus,5507010605,FALSE
Pteriina,5509000000,FALSE
Pectinidae,5509050000,FALSE
Chlamys,5509050100,FALSE
Chlamys varia,5509050108,FALSE
Chlamys distorta,5509050109,FALSE
Chlamys opercularis,5509050110,FALSE
Chlamys tigerina,5509050111,FALSE
Pecten,5509050400,FALSE
Pecten maximus,5509050402,FALSE
Anomiidae,5509090000,FALSE
Anomia,5509090200,FALSE
Anomia squamula,5509090203,FALSE
Anomia epihippium,5509090204,FALSE
Anomia patelliformis,5509090205,FALSE
Anomia squama,5509090206,FALSE
Limidae,5509100000,FALSE
Lima,5509100100,FALSE
Lima lascombi,5509100104,FALSE
Lima sulcata,5509100106,FALSE
Ostreina,5510000000,FALSE
Ostreidae,5510020000,FALSE
Crassostrea,5510020100,FALSE
Crassostrea angulata,5510020103,FALSE
Ostrea,5510020200,FALSE
Ostrea edulis,5510020202,FALSE
Veneroida,5515000000,FALSE
Lucinidae,5515010000,FALSE
Phacoidea,5515010400,FALSE
Phacoidea borealis,5515010401,FALSE
Divaricella,5515010500,FALSE
Divaricella divaricata,5515010501,FALSE
Erycinidae,5515070000,FALSE
Lasaea,5515070100,FALSE
Lasaea rubra,5515070102,FALSE
Kelliidae,5515080000,FALSE
Kellia,5515080100,FALSE
Kellia suborbicularis,5515080102,FALSE
Montacutidae,5515100000,FALSE
Mysella,5515100100,FALSE
Mysella bidentata,5515100108,FALSE
Montacuta,5515100400,FALSE
Montacuta ferruginosa,5515100403,FALSE
Astartidae,5515190000,FALSE
Astarte,5515190100,FALSE
Astarte montagui,5515190103,FALSE
Astarte,5515190112,TRUE
Astarte sulcata,5515190116,FALSE
Astarte triangularis,5515190117,FALSE
Cardiidae,5515220000,FALSE
Laevicardium,5515220400,FALSE
Laevicardium crassum,5515220402,FALSE
Cardium,5515220800,FALSE
Cardium edule,5515220801,FALSE
Cardium scabrum,5515220802,FALSE
Cardium exiguum,5515220803,FALSE
Cardium echinatum,5515220804,FALSE
Parvicardium,5515220900,FALSE
Parvicardium minimum,5515220901,FALSE
Parvicardium ovale,5515220902,FALSE
Mactridae,5515250000,FALSE
Spisula,5515250100,FALSE
Spisula subtruncata,5515250104,FALSE
Spisula solida,5515250105,FALSE
Spisula elliptica,5515250106,FALSE
Mactra,5515250500,FALSE
Mactra corallina,5515250501,FALSE
Lutraria,5515250600,FALSE
Lutraria lutraria,5515250601,FALSE
Lutraria magna,5515250602,FALSE
Solenidae,5515290000,FALSE
Solen,5515290200,FALSE
Solen marginatus,5515290203,FALSE
Ensis,5515290300,FALSE
Ensis ensis,5515290302,FALSE
Ensis arcuatus,5515290303,FALSE
Ensis siliqua,5515290304,FALSE
Cultellus,5515290400,FALSE
Cultellus pellucidus,5515290401,FALSE
Tellinidae,5515310000,FALSE
Macoma,5515310100,FALSE
Macoma balthica,5515310116,FALSE
Tellina,5515310200,FALSE
Tellina pygmaea,5515310272,FALSE
Arcopagia,5515310300,FALSE
Arcopagia crassa,5515310301,FALSE
Angulus,5515310400,FALSE
Angulus pygmaeus,5515310401,FALSE
Angulus fabula,5515310402,FALSE
Angula donacinus,5515310403,FALSE
Angula tenuis,5515310404,FALSE
Donacidae,5515320000,FALSE
Donax,5515320100,FALSE
Donax vittatus,5515320103,FALSE
Psammobiidae,5515330000,FALSE
Gari,5515330100,FALSE
Gari fervensis,5515330102,FALSE
Semelidae,5515350000,FALSE
Abra,5515350200,FALSE
Abra tenuis,5515350202,FALSE
Abra nitida,5515350203,FALSE
Abra prismatica,5515350204,FALSE
Abra alba,5515350210,FALSE
Scrobicularia,5515350300,FALSE
Scrobicularia plana,5515350301,FALSE
Veneridae,5515470000,FALSE
Dosinia,5515470900,FALSE
Dosinia exoleta,5515470902,FALSE
Dosinia lupinus,5515470903,FALSE
Venus,5515471400,FALSE
Venus verrucosa,5515471401,FALSE
Venus mercenaria,5515471402,FALSE
Venus ovata,5515471403,FALSE
Venus gallina,5515471404,FALSE
Venerupis,5515471500,FALSE
Venerupis pullastra,5515471501,FALSE
Venerupis aurea,5515471502,FALSE
Venerupis rhomboides,5515471503,FALSE
Venus,5515472100,TRUE
Venus gallina,5515472101,TRUE
Venus ovata,5515472102,TRUE
Venus fasciata,5515472103,FALSE
Venus verrucosa,5515472104,TRUE
Venus mercenaria,5515472105,TRUE
Petricolidae,5515480000,FALSE
Petricola,5515480100,FALSE
Petricola pholadiformis,5515480102,FALSE
Cyprinidae,5515510000,FALSE
Cyprina,5515510100,FALSE
Cyprina islandica,5515510101,FALSE
Myina,5517000000,FALSE
Myidae,5517010000,FALSE
Mya,5517010200,FALSE
Mya arenaria,5517010201,FALSE
Mya truncata,5517010203,FALSE
Sphenia,5517010400,FALSE
Sphenia binghami,5517010401,FALSE
Corbulidae,5517020000,FALSE
Corbula,5517020200,FALSE
Corbula gibba,5517020202,FALSE
Hiatellidae,5517060000,FALSE
Hiatella,5517060200,FALSE
Hiatella arctica,5517060201,FALSE
Hiatella striata,5517060204,FALSE
Saxicavella,5517060500,FALSE
Saxicavella jeffreysi,5517060501,FALSE
Pholadina,5518000000,FALSE
Pholadidae,5518010000,FALSE
Zirrfaea,5518010100,FALSE
Zirrfaea crispata,5518010102,FALSE
Barnea,5518010400,FALSE
Barnea candida,5518010402,FALSE
Barnea parva,5518010403,FALSE
Pholas,5518010800,FALSE
Pholas ddactylus,5518010801,FALSE
Teredinidae,5518020000,FALSE
Teredo,5518020200,FALSE
Teredo navalis,5518020201,FALSE
Teredo megotara,5518020202,FALSE
Teredo norvegica,5518020203,FALSE
Pholadomyoida,5520000000,FALSE
Laternulidae,5520040000,FALSE
Cochlodesma praetenue,5520040101,FALSE
Thraciidae,5520080000,FALSE
Thracia phaseolina,5520080210,FALSE
Cuspidariidae,5520100000,FALSE
Cuspidaria,5520100200,FALSE
Cuspidaria cuspidata,5520100229,FALSE
Scaphopoda,5600000000,FALSE
Dentalidae,5600010000,FALSE
Dentalium,5600010100,FALSE
Dentalium entale,5600010105,FALSE
Dentalium vulgare,5600010107,FALSE
Cephalopoda,5700000000,FALSE
Sepiida,5704000000,FALSE
Sepiolidae,5704020000,FALSE
Rossia,5704020100,FALSE
Rossia macrosoma,5704020103,FALSE
Sepiola,5704020300,FALSE
Sepiola atlantica,5704020301,FALSE
Sepietta,5704020400,FALSE
Sepietta oweniana,5704020401,FALSE
Sepiidae,5704030000,FALSE
Sepia,5704030100,FALSE
Sepia elegans,5704030101,FALSE
Sepia orbignyana,5704030102,FALSE
Sepia officinalis,5704030103,FALSE
Myopsida,5706000000,FALSE
Loliginidae,5706010000,FALSE
Loligo,5706010100,FALSE
Loligo vulgaris,5706010102,FALSE
Loligo forbesi,5706010103,FALSE
Allotheutis,5706010300,FALSE
Allotheutis subulata,5706010301,FALSE
Degopsida,5707000000,FALSE
Ommatostrephidae,5707150000,FALSE
Ommastrephes,5707150300,FALSE
Ommastrephes sagittatus,5707150301,FALSE
Octopodida,5708000000,FALSE
Octopodidae,5708010000,FALSE
Octopus,5708010200,FALSE
Octopus vulgaris,5708010202,FALSE
Eledone,5708010400,FALSE
Eledone cirrosa,5708010401,FALSE
Pycnogonida,6000000000,FALSE
Pantopoda,6001000000,FALSE
Nymphonidae,6001010000,FALSE
Nymphon,6001010100,FALSE
Nymphon gracile,6001010108,FALSE
Pycnogonidae,6001080000,FALSE
Pycnogonum,6001080100,FALSE
Pycnogonum littorale,6001080103,FALSE
Crustacea,6100000000,FALSE
Cladocera,6109000000,FALSE
Polyphemidae,6109050000,FALSE
Evadne,6109050100,FALSE
Evadne nordmanni,6109050101,FALSE
Podon,6109050200,FALSE
Ostracoda,6110000000,FALSE
Myodocopa,6111000000,FALSE
Cladocopa,6112000000,FALSE
Podocopa,6113000000,FALSE
Platycopa,6114000000,FALSE
Calanoida,6118000000,FALSE
Calanidae,6118010000,FALSE
Calanus,6118010200,FALSE
Calanus finmarchicus,6118010208,FALSE
Paracalanidae,6118040000,FALSE
Pseudocalanidae,6118050000,FALSE
Microcalanus,6118050400,FALSE
Microcalanus pusillus,6118050401,FALSE
Aetideidae,6118070000,FALSE
Chiridius,6118070600,FALSE
Chiridius armatus,6118070606,FALSE
Euchaetidae,6118080000,FALSE
Euchaeta,6118080100,FALSE
Metridiidae (copepoda),6118160000,FALSE
Metridia,6118160200,FALSE
Metridia lucens,6118160207,FALSE
Centropagidae,6118170000,FALSE
Centropages hamatus,6118170105,FALSE
Centropages typicus,6118170106,FALSE
Temoridae,6118200000,FALSE
Temora,6118200300,FALSE
Temora longicornis,6118200303,FALSE
Heterorhabdidae,6118220000,FALSE
Heterorhabdus,6118220200,FALSE
Candaciidae,6118260000,FALSE
Candacia,6118260100,FALSE
Candacia armata,6118260104,FALSE
Pontellidae,6118270000,FALSE
Anomalocera,6118270500,FALSE
Anomalocera patersoni,6118270501,FALSE
Acartiidae,6118290000,FALSE
Acartia,6118290100,FALSE
Acartia clausi,6118290101,FALSE
Harpacticoida,6119000000,FALSE
Harpacticidae,6119100000,FALSE
Cyclopoida,6120000000,FALSE
Oithonidae,6120090000,FALSE
Oithona,6120090100,FALSE
Caligoida,6123000000,FALSE
Caligidae,6123010000,FALSE
Caligus,6123010100,FALSE
Caligus elongatus,6123010103,FALSE
Lepadomorpha,6132000000,FALSE
Lepadidae,6132050000,FALSE
Lepas,6132050300,FALSE
